Category,Width,Height
Child,25,46
Child,52,132
Adult,29,100
Adult,57,78
Adult,29,76
Child,14,34
Adult,3,72
Child,18,39
Adult,29,148
Child,32,51
Child,18,48
Adult,28,158
Adult,5,86
Adult,33,110
Child,14,40
Adult,27,75
Adult,31,74
Adult,47,86
Child,21,94
Adult,37,87
Adult,36,66
Child,15,42
Child,23,27
Adult,34,178
Child,15,53
Adult,29,117
Adult,21,135
Adult,46,73
Adult,42,103
Child,9,43
Adult,18,79
Child,51,72
Adult,54,75
Adult,24,66
Adult,34,119
Adult,58,112
Adult,29,110
Adult,31,138
Adult,57,253
Adult,34,156
Adult,25,129
Adult,28,147
Child,34,32
Adult,34,133
Adult,22,110
Adult,30,91
Adult,56,143
Adult,57,247
Adult,29,69
Adult,24,66
Child,15,32
Adult,52,114
Adult,78,68
Adult,40,127
Adult,17,73
Child,9,30
Adult,18,92
Child,14,35
Adult,39,95
Adult,56,98
Adult,53,102
Child,11,36
Adult,41,126
Adult,44,89
Adult,48,86
Child,13,50
Adult,105,309
Child,91,71
Adult,40,69
Child,12,32
Adult,34,116
Adult,28,66
Child,27,60
Adult,12,70
Adult,19,69
Adult,40,51
Adult,90,208
Child,25,63
Adult,67,71
Adult,28,67
Adult,21,77
Adult,28,67
Adult,40,74
Child,40,63
Child,30,39
Child,24,34
Adult,37,92
Adult,38,78
Adult,39,135
Adult,34,68
Child,14,37
Child,54,192
Child,43,109
Adult,24,75
Adult,24,135
Adult,36,82
Adult,23,116
Adult,44,209
Adult,25,95
Child,18,59
Child,115,85
Adult,27,94
Child,20,46
Adult,33,108
Adult,43,67
Child,24,64
Adult,33,98
Child,18,71
Adult,24,76
Adult,44,125
Adult,66,171
Adult,31,113
Adult,46,218
Adult,28,69
Child,18,35
Child,18,34
Adult,32,97
Adult,42,143
Child,18,37
Adult,22,71
Adult,27,94
Adult,33,70
Child,16,35
Adult,47,62
Adult,35,72
Adult,24,70
Adult,25,60
Child,77,160
Adult,26,54
Adult,72,306
Adult,35,75
Adult,17,84
Adult,20,87
Adult,20,50
Adult,31,103
Adult,65,206
Adult,59,188
Adult,50,149
Child,37,109
Adult,20,60
Child,104,234
Child,45,64
Adult,15,67
Adult,38,90
Adult,14,50
Adult,22,62
Adult,62,90
Adult,28,105
Adult,42,134
Adult,29,56
Adult,32,70
Adult,57,159
Adult,23,73
Adult,25,64
Adult,46,126
Adult,21,68
Adult,31,90
Adult,72,195
Adult,28,71
Adult,20,50
Adult,44,163
Adult,18,51
Adult,74,108
Adult,23,110
Adult,55,207
Adult,46,87
Adult,18,85
Adult,36,142
Adult,37,123
Adult,26,73
Adult,30,54
Adult,20,50
Child,32,110
Child,14,33
Adult,21,72
Adult,90,273
Adult,31,121
Adult,36,87
Adult,48,154
Child,59,163
Adult,42,54
Adult,54,144
Adult,61,91
Adult,35,135
Child,14,35
Adult,37,121
Adult,32,94
Adult,31,94
Adult,15,63
Adult,21,62
Adult,23,57
Adult,45,131
Adult,46,98
Adult,57,219
Adult,27,108
Adult,29,64
Adult,33,108
Adult,23,65
Adult,33,82
Child,53,90
Adult,24,71
Adult,20,60
Adult,52,187
Adult,41,105
Adult,26,71
Adult,48,149
Adult,34,80
Adult,28,59
Adult,17,60
Adult,24,92
Adult,54,113
Adult,42,93
Adult,26,84
Adult,96,180
Child,28,58
Adult,51,123
Adult,46,99
Adult,29,89
Adult,32,117
Adult,16,51
Adult,40,82
Adult,39,73
Adult,20,65
Adult,15,56
Adult,33,89
Adult,69,239
Adult,40,102
Adult,33,109
Adult,44,97
Adult,33,146
Adult,22,51
Adult,26,60
Adult,38,103
Adult,23,127
Adult,26,78
Adult,74,307
Adult,33,78
Adult,65,170
Adult,23,117
Adult,25,69
Adult,46,108
Adult,19,53
Adult,24,82
Adult,21,78
Adult,36,66
Child,59,161
Adult,34,149
Adult,15,50
Adult,148,524
Child,14,45
Child,56,54
Adult,30,82
Adult,36,114
Adult,22,72
Child,84,94
Adult,28,78
Adult,65,129
Adult,28,136
Adult,22,75
Adult,38,55
Adult,35,122
Adult,20,51
Adult,18,66
Adult,48,81
Adult,34,87
Adult,24,58
Adult,19,80
Adult,80,87
Child,23,71
Adult,27,78
Adult,112,225
Adult,26,68
Adult,31,103
Adult,35,130
Adult,27,87
Adult,17,73
Child,79,270
Adult,43,98
Adult,15,62
Adult,21,69
Adult,74,217
Adult,71,67
Adult,39,50
Adult,40,108
Adult,21,76
Adult,38,90
Adult,25,78
Adult,21,63
Adult,40,105
Adult,93,295
Adult,28,94
Adult,31,80
