Category,Width,Height
Adult,66,166
Adult,55,176
Adult,102,280
Adult,70,161
Adult,71,201
Child,51,113
Adult,29,74
Adult,94,251
Adult,47,117
Adult,68,236
Adult,35,130
Adult,71,184
Adult,94,224
Adult,41,170
Adult,75,242
Adult,49,143
Adult,73,173
Adult,81,191
Adult,104,237
Adult,65,226
Adult,44,90
Adult,76,268
Adult,42,127
Adult,153,348
Adult,32,133
Adult,60,187
Adult,32,90
Adult,26,81
Adult,54,166
Adult,59,178
Adult,59,174
Adult,42,114
Adult,86,286
Adult,97,212
Adult,67,157
Adult,62,174
Adult,50,125
Adult,78,181
Adult,36,123
Adult,59,178
Adult,62,152
Adult,54,194
Adult,69,136
Adult,54,194
Adult,44,125
Adult,94,194
Adult,36,92
Adult,59,150
Adult,32,80
Adult,64,175
Adult,75,160
Adult,66,191
Adult,94,202
Adult,63,142
Adult,33,86
Adult,22,102
Adult,102,181
Adult,33,102
Adult,79,222
Adult,47,158
Adult,65,184
Adult,38,104
Adult,76,192
Adult,92,366
Adult,55,91
Adult,99,247
Adult,61,157
Adult,36,82
Adult,37,93
Adult,58,160
Adult,76,170
Adult,43,123
Adult,51,161
Adult,46,122
Adult,105,296
Adult,137,266
Adult,118,275
Adult,65,167
Adult,89,216
Adult,42,146
Adult,25,80
Adult,70,240
Adult,67,192
Adult,34,89
Adult,59,180
Adult,72,159
Adult,121,417
Adult,47,136
Adult,81,214
Adult,84,157
Adult,41,110
Adult,41,123
Adult,40,108
Adult,57,137
Adult,59,150
Adult,53,186
Adult,32,80
Adult,64,143
Adult,34,100
Adult,42,157
Adult,87,209
Child,28,75
Adult,35,93
Adult,59,175
Adult,81,199
Adult,57,201
Adult,98,258
Adult,80,298
Adult,156,277
Adult,60,149
Adult,49,140
Adult,35,100
Adult,84,229
Adult,273,411
Adult,68,155
Adult,48,109
Adult,51,160
Adult,72,178
Adult,90,294
Adult,68,184
Adult,74,160
Adult,125,289
Adult,102,274
Adult,35,90
Adult,75,226
Adult,37,95
Adult,52,161
Adult,89,141
Adult,49,119
Adult,32,88
Adult,69,159
Adult,57,177
Adult,61,148
Adult,37,104
Adult,23,72
Adult,90,182
Adult,64,136
Adult,59,174
Adult,45,111
Adult,52,146
Adult,54,123
Adult,60,167
Adult,67,164
Adult,32,102
Adult,69,205
Adult,36,99
Adult,76,236
Adult,92,207
Adult,29,81
Adult,44,129
Adult,65,121
Adult,73,191
Adult,66,177
Adult,23,87
Adult,126,362
Adult,70,166
Adult,79,223
Adult,59,186
Adult,66,130
Adult,46,143
Adult,175,372
Adult,99,270
Child,32,113
Adult,61,133
Adult,70,141
Adult,80,171
Adult,105,307
Adult,51,158
Adult,42,94
Adult,89,222
Adult,55,188
Adult,42,107
Adult,57,121
Adult,28,67
Adult,78,139
Adult,45,129
Adult,53,176
Adult,56,194
Adult,57,145
Adult,43,107
Adult,45,130
Adult,60,188
Adult,37,102
Adult,105,371
Adult,24,84
Adult,65,143
Adult,40,82
Adult,86,204
Adult,67,138
Adult,31,99
Adult,25,81
Adult,69,154
Adult,68,151
Adult,34,87
Adult,63,165
Adult,103,186
Adult,67,152
Adult,48,140
Adult,51,152
Adult,33,80
Adult,26,103
Adult,41,104
Adult,32,100
Adult,81,201
Adult,64,144
Adult,88,232
Adult,64,231
Adult,81,251
Adult,96,267
Adult,53,146
Adult,73,174
Adult,85,190
Adult,85,230
Adult,37,93
Adult,48,171
Adult,56,165
Adult,66,170
Adult,79,199
Adult,82,193
Adult,33,111
Adult,65,173
Adult,87,222
Adult,33,87
Adult,37,85
Adult,92,274
Adult,49,172
Adult,102,171
Adult,67,154
Adult,46,131
Adult,68,184
Adult,72,183
Child,96,182
Adult,38,97
Adult,134,294
Adult,87,193
Adult,40,86
Adult,30,87
Adult,42,134
Adult,104,358
Adult,102,240
Adult,26,96
Adult,170,345
Adult,76,169
Adult,77,153
Adult,110,225
Adult,62,149
Adult,85,144
Adult,50,110
Adult,62,181
Adult,56,142
Adult,64,146
Adult,41,90
Adult,136,308
Adult,40,110
Adult,68,202
Adult,54,140
Adult,36,88
Adult,58,141
Child,64,178
Adult,60,215
Adult,39,107
Adult,55,127
Adult,59,163
Adult,38,106
Adult,56,98
Adult,48,134
Adult,61,186
Adult,121,268
Adult,29,80
Adult,75,183
Adult,56,172
Adult,65,248
Adult,36,113
Adult,50,162
Adult,64,137
Adult,56,174
Adult,101,246
Adult,70,159
Adult,84,149
Adult,87,219
Adult,51,140
Adult,57,188
Adult,36,110
Adult,75,297
Adult,70,176
Adult,85,206
Adult,76,156
Adult,74,189
Adult,76,249
Adult,84,208
Adult,41,110
Adult,60,179
Adult,38,94
Adult,60,224
Adult,42,177
Adult,53,149
Adult,45,121
Adult,87,222
Adult,65,143
Adult,66,181
Adult,80,231
Adult,93,240
Adult,37,127
Adult,62,167
Adult,43,103
Adult,57,138
Adult,60,178
Adult,30,79
Adult,44,120
Adult,40,142
Adult,65,166
Adult,36,100
Adult,34,86
Adult,24,83
Adult,128,264
Adult,95,192
Adult,32,85
Adult,167,359
Adult,134,232
Adult,53,159
Adult,29,76
Adult,38,117
Adult,95,246
Adult,69,155
Adult,96,292
Adult,70,205
Adult,34,87
Adult,47,126
Adult,45,126
Adult,51,116
Adult,123,240
Adult,69,205
Adult,30,92
Adult,73,169
Adult,108,221
Adult,20,89
Adult,75,167
Adult,40,125
Child,16,56
Adult,84,222
Adult,102,256
Adult,53,156
Adult,45,140
Adult,74,141
Adult,50,160
Adult,64,207
Adult,86,172
Adult,81,166
Adult,29,75
Adult,76,218
Adult,49,126
Adult,35,126
Adult,36,101
Adult,62,160
Adult,117,413
Adult,85,194
Adult,110,319
Adult,69,187
Adult,108,245
Adult,28,86
Adult,32,91
Adult,67,165
Adult,56,159
Adult,55,132
Adult,32,93
Adult,68,223
Adult,54,157
Adult,45,108
Adult,62,170
Adult,70,200
Adult,33,94
Adult,73,169
Adult,69,148
Adult,37,86
Adult,30,73
Adult,40,98
Adult,63,233
Adult,35,101
Adult,105,258
Adult,124,298
Adult,138,238
Adult,27,80
Adult,71,182
Adult,88,285
Adult,67,163
Adult,65,194
Adult,44,136
Adult,63,148
Adult,34,96
Adult,138,289
Adult,30,83
Adult,63,154
Adult,86,164
Adult,69,170
Adult,74,232
Adult,34,117
Adult,83,303
Adult,38,96
Adult,43,125
Adult,33,88
Adult,27,104
Adult,147,405
Adult,68,183
Adult,90,229
Adult,72,214
Child,62,133
Adult,68,185
Adult,65,155
Adult,73,203
Adult,46,145
Adult,68,203
Adult,41,125
Adult,118,300
Adult,56,155
Adult,87,248
Adult,35,90
Adult,57,166
Adult,88,243
Adult,86,211
Adult,71,222
Adult,66,182
Adult,31,79
Adult,42,105
Adult,122,280
Adult,46,152
Adult,86,144
Child,78,131
Adult,84,252
Adult,30,76
Adult,69,161
Adult,19,82
Adult,33,94
Adult,67,175
Adult,56,160
Adult,105,227
Adult,27,81
Adult,59,163
Adult,34,123
Adult,59,170
Adult,91,183
Adult,43,128
Adult,71,164
Child,37,113
Adult,46,80
Adult,79,175
Adult,103,230
Adult,73,199
Adult,44,140
Adult,64,150
Adult,26,84
Adult,26,96
Adult,170,379
Adult,78,140
Child,52,159
Adult,60,183
Adult,115,302
Adult,148,381
Adult,29,81
Adult,157,257
Adult,34,75
Adult,80,168
Adult,69,231
Adult,143,362
Adult,41,106
Adult,61,155
Adult,31,115
Adult,104,285
Adult,59,206
Adult,73,183
Adult,45,133
Adult,31,87
Adult,45,105
Adult,58,181
Adult,27,101
Adult,68,237
Adult,100,213
Adult,55,153
Adult,46,99
Adult,87,266
Adult,45,140
Adult,113,304
Adult,42,105
Adult,69,177
Adult,67,224
Adult,58,157
Adult,70,204
Adult,77,198
Adult,46,92
Adult,92,221
Adult,64,173
Adult,55,153
Adult,103,317
Adult,91,259
Adult,72,218
Adult,34,86
Adult,70,174
Adult,42,103
Child,21,60
Adult,59,130
Adult,64,209
Adult,77,193
Adult,62,201
Adult,105,252
Adult,52,123
Adult,51,168
Adult,37,88
Adult,59,133
Adult,50,152
Adult,70,203
Adult,56,164
Child,52,189
Adult,53,177
Adult,42,148
Adult,45,90
Adult,38,104
Adult,31,80
Adult,43,113
Adult,106,300
Adult,49,184
Adult,32,101
Adult,111,284
Adult,56,197
Adult,58,175
Adult,50,156
Adult,22,87
Adult,69,174
Adult,38,106
Adult,32,105
Adult,93,282
Adult,46,162
Adult,146,336
Adult,24,88
Adult,63,194
Adult,100,211
Adult,57,160
Adult,45,116
Adult,83,152
Adult,57,203
Adult,29,83
Adult,66,172
Adult,126,316
Adult,69,194
Adult,63,152
Adult,87,155
Adult,80,150
Adult,72,164
Adult,116,299
Adult,49,144
Adult,56,163
Adult,55,93
Adult,134,338
Adult,44,133
Child,59,165
Adult,73,199
Adult,65,190
Adult,32,99
Adult,61,166
Adult,52,154
Adult,30,90
Adult,72,166
Adult,81,192
Adult,67,256
Adult,103,259
Adult,64,190
Adult,42,138
Adult,86,204
Adult,82,135
Adult,80,250
Adult,74,133
Adult,57,146
Adult,37,86
Adult,119,330
Adult,174,288
Adult,87,255
Adult,62,189
Adult,59,145
Child,48,146
Adult,102,211
Adult,74,182
Adult,98,240
Adult,77,161
Adult,100,322
Adult,41,144
Adult,68,144
Adult,59,165
Adult,93,274
Adult,87,184
Adult,73,234
Adult,44,80
Adult,50,144
Adult,49,166
Adult,97,272
Adult,66,194
Adult,26,68
Adult,54,140
Adult,53,117
Adult,49,101
Adult,50,144
Adult,61,193
Adult,64,249
Adult,42,171
Adult,92,266
Adult,86,219
Adult,87,193
Adult,77,159
Adult,56,153
Adult,33,94
Adult,49,174
Adult,52,134
Adult,61,177
Adult,49,152
Adult,56,171
Adult,42,82
Adult,45,114
Adult,36,84
Adult,84,237
Adult,69,196
Adult,60,157
Adult,70,150
Adult,97,267
Adult,126,331
Adult,61,192
Adult,112,229
Adult,33,90
Adult,36,74
Adult,117,350
Adult,57,176
Adult,76,282
Adult,28,81
Adult,62,146
Adult,86,167
Adult,32,80
Adult,31,91
Child,108,334
Adult,88,236
Adult,42,125
Adult,65,193
Adult,52,137
Adult,84,254
Adult,57,148
Adult,75,222
Adult,40,131
Adult,89,193
Adult,52,149
Adult,62,157
Adult,60,197
Adult,50,105
Adult,71,245
Adult,49,128
Adult,68,180
Adult,26,75
Adult,59,148
Adult,38,106
Adult,40,123
Adult,53,167
Adult,78,177
Adult,28,76
Adult,96,190
Adult,76,201
Adult,28,88
Adult,62,172
Adult,43,137
Adult,65,186
Adult,62,181
Adult,77,189
Adult,85,173
Adult,84,157
Adult,60,158
Adult,40,126
Adult,98,280
Adult,71,200
Adult,79,262
Adult,56,164
Adult,45,118
Adult,72,248
Adult,44,80
Adult,76,296
Adult,40,89
Adult,108,249
Adult,62,143
Adult,37,119
Adult,53,152
Adult,100,238
Adult,177,375
Adult,66,167
Adult,57,162
Adult,181,295
Adult,163,265
Adult,63,141
Adult,103,226
Adult,69,190
Adult,128,200
Adult,92,275
Adult,91,229
Adult,66,226
Adult,117,419
Adult,99,194
Adult,82,249
Adult,70,179
Adult,82,220
Adult,76,195
Adult,25,92
Adult,50,139
Adult,64,145
Adult,54,169
Adult,68,175
Adult,59,133
Adult,82,204
Adult,54,165
Adult,69,197
Adult,73,156
Adult,51,145
Adult,131,262
Adult,28,71
Adult,81,217
Adult,66,169
Adult,28,80
Adult,110,222
Adult,49,137
Adult,47,169
Adult,54,145
Adult,103,224
Adult,31,89
Child,27,63
Adult,68,176
Adult,81,215
Adult,50,176
Adult,47,143
Adult,53,137
Adult,103,184
Adult,39,97
Adult,76,173
Adult,49,167
Adult,39,118
Adult,61,179
Adult,95,212
Adult,104,251
Adult,93,222
Adult,45,146
Child,52,166
Adult,46,189
Adult,47,159
Adult,47,128
Adult,167,323
Adult,42,114
Adult,123,329
Adult,81,235
Adult,48,143
Adult,162,344
Adult,72,216
Adult,79,168
Adult,60,136
Adult,60,207
Adult,49,122
Adult,108,270
Adult,53,180
Adult,35,91
Adult,54,156
Adult,100,244
Adult,32,102
Adult,51,155
Adult,66,165
Adult,76,211
Adult,43,153
Adult,66,147
Adult,47,163
Adult,38,132
Adult,140,330
Adult,72,171
Adult,60,169
Adult,28,96
Adult,72,189
Adult,62,154
Adult,80,185
Adult,93,234
Adult,97,206
Adult,47,149
Adult,52,204
Adult,223,404
Adult,34,126
Adult,61,187
Adult,64,154
Adult,44,126
Adult,44,92
Adult,32,90
Adult,169,442
Adult,92,260
Adult,50,171
Adult,67,164
Adult,73,180
Adult,69,118
Adult,71,189
Adult,38,105
Adult,89,210
Adult,67,134
Adult,39,118
Adult,54,181
Adult,65,162
Adult,53,157
Adult,41,110
Adult,40,102
Adult,64,163
Adult,73,223
Adult,62,143
Adult,84,195
Adult,25,85
Adult,91,248
Adult,120,310
Adult,43,134
Adult,176,281
Adult,56,148
Adult,147,242
Adult,97,332
Adult,84,198
Adult,36,105
Adult,48,127
Adult,61,181
Adult,93,289
Adult,77,229
Adult,26,85
Adult,163,388
Adult,127,294
Adult,55,177
Adult,71,162
Adult,44,95
Adult,94,226
Adult,76,170
Adult,111,260
Adult,62,166
Adult,103,208
Adult,64,170
Adult,46,157
Adult,98,211
Adult,75,185
Adult,96,141
Adult,61,127
Adult,53,185
Adult,21,80
Adult,36,83
Adult,74,178
Adult,119,301
Adult,54,113
Adult,156,437
Adult,54,144
Adult,61,174
Adult,39,107
Adult,59,205
Adult,25,91
Adult,142,321
Adult,82,181
Adult,52,131
Adult,36,114
Adult,31,105
Adult,43,118
Adult,101,203
Adult,78,174
Adult,25,78
Adult,79,172
Adult,48,122
Adult,46,158
Adult,38,111
Adult,99,233
Adult,81,179
Adult,34,80
Adult,31,86
Adult,30,96
Adult,32,93
Adult,123,284
Adult,35,113
Adult,56,180
Adult,68,195
Adult,111,174
Adult,42,102
Adult,70,226
Adult,91,190
Adult,43,125
Adult,43,119
Adult,100,191
Adult,32,74
Adult,133,272
Adult,33,100
Adult,38,94
Adult,47,139
Adult,66,233
Adult,81,219
Adult,123,269
Adult,94,169
Adult,105,248
Adult,40,94
Adult,196,347
Adult,27,98
Adult,50,100
Child,44,79
Adult,28,84
Adult,64,210
Adult,42,110
Child,87,169
Adult,70,152
Adult,169,355
Adult,68,180
Adult,63,140
Adult,66,179
Adult,41,92
Adult,86,216
Adult,61,166
Adult,28,93
Adult,66,161
Adult,61,173
Adult,38,80
Adult,80,192
Adult,57,158
Adult,32,78
Child,59,228
Adult,76,206
Adult,124,258
Adult,57,139
Adult,28,85
Adult,74,188
Child,26,64
Adult,39,88
Child,50,161
Adult,46,97
Adult,60,178
Adult,137,237
Adult,59,182
Adult,68,193
Adult,48,114
Adult,48,132
Adult,55,126
Adult,95,233
Adult,128,239
Adult,32,103
Adult,30,100
Adult,122,279
Adult,23,81
Adult,30,94
Adult,56,113
Adult,69,151
Adult,61,168
Adult,50,135
Adult,89,180
Adult,66,185
Adult,103,247
Adult,28,79
Adult,39,128
Adult,26,73
Adult,99,243
Adult,61,186
Adult,72,174
Adult,94,234
Adult,34,88
Adult,75,138
Adult,53,178
Adult,113,216
Adult,57,177
Adult,66,202
Adult,90,237
Child,30,72
Adult,51,200
Adult,151,328
Adult,50,128
Adult,44,121
Adult,95,248
Adult,58,165
Adult,56,144
Adult,96,273
Adult,96,336
Child,64,155
Adult,75,155
Adult,34,95
Adult,95,296
Adult,41,144
Adult,71,158
Adult,34,102
Adult,75,185
Adult,83,238
Adult,168,289
Adult,165,333
Adult,190,315
Adult,63,182
Adult,55,175
Adult,62,126
Adult,37,98
Adult,68,196
Adult,52,143
Adult,153,281
Adult,25,85
Adult,65,146
Adult,44,104
Adult,77,195
Adult,26,87
Adult,36,112
Adult,57,176
Adult,121,304
Adult,26,89
Adult,68,215
Adult,58,171
Adult,89,208
Adult,32,91
Adult,62,168
Adult,36,86
Adult,52,182
Adult,114,300
Adult,64,133
Adult,32,88
Adult,44,94
Adult,100,265
Adult,75,259
Adult,98,237
Adult,29,101
Adult,49,111
Adult,71,151
Adult,28,95
Adult,52,124
Adult,122,190
Adult,78,225
Adult,77,149
Adult,70,136
Adult,46,141
Adult,72,160
Adult,62,191
Adult,73,282
Adult,99,246
Adult,71,115
Adult,31,89
Adult,172,291
Adult,58,209
Adult,41,96
Adult,87,166
Adult,67,251
Adult,55,146
Adult,75,173
Adult,45,142
Adult,64,175
Adult,58,202
Adult,68,171
Adult,80,285
Adult,127,366
Adult,140,303
Adult,60,178
Adult,59,131
Adult,147,279
Child,32,71
Adult,89,189
Adult,115,300
Adult,45,149
Adult,34,95
Adult,28,80
Adult,43,88
Child,161,306
Adult,60,128
Adult,88,238
Adult,67,171
Adult,32,91
Adult,89,240
Adult,27,90
Adult,73,169
Adult,57,187
Adult,76,195
Adult,41,125
Adult,130,272
Adult,98,318
Adult,67,159
Adult,66,158
Adult,69,182
Adult,100,274
Adult,76,174
Adult,70,180
Adult,96,255
Adult,76,177
Adult,73,192
Adult,27,74
Adult,76,127
Adult,51,122
Adult,86,181
Adult,34,110
Child,46,143
Adult,65,163
Adult,163,369
Adult,50,148
Adult,85,195
Adult,58,145
Adult,58,201
Adult,77,181
Adult,64,242
Adult,68,174
Adult,35,111
Adult,36,112
Adult,70,193
Adult,62,163
Adult,99,218
Adult,59,195
Adult,33,86
Adult,80,249
Adult,29,100
Adult,33,95
Adult,54,152
Adult,69,262
Adult,62,160
Adult,57,157
Adult,32,71
Adult,51,112
Adult,91,241
Adult,37,71
Adult,88,207
Adult,44,134
Child,29,82
Adult,48,124
Adult,122,319
Adult,46,136
Adult,58,147
Adult,63,185
Adult,76,206
Adult,55,183
Adult,129,306
Adult,95,216
Adult,48,135
Adult,95,247
Adult,85,239
Child,45,146
Adult,43,104
Adult,60,170
Adult,48,97
Adult,52,160
Adult,28,84
Adult,44,99
Adult,51,154
Adult,27,68
Child,83,215
Adult,31,93
Adult,85,238
Adult,52,137
Adult,34,95
Adult,29,84
Adult,37,90
Adult,48,157
Adult,50,125
Adult,99,285
Adult,77,147
Adult,74,156
Adult,83,148
Adult,112,195
Adult,38,114
Adult,33,97
Adult,86,169
Adult,81,207
Adult,44,129
Adult,142,256
Adult,64,159
Adult,84,159
Adult,97,276
Adult,35,87
Adult,37,86
Adult,44,129
Adult,44,143
Adult,46,150
Adult,72,163
Adult,32,86
Adult,49,96
Adult,99,222
Adult,68,195
Adult,33,83
Adult,59,192
Adult,71,211
Adult,70,156
Adult,37,113
Adult,27,96
Adult,73,200
Adult,115,208
Adult,60,149
Adult,114,266
Adult,155,272
Adult,33,91
Adult,145,334
Adult,97,158
Adult,82,168
Adult,59,196
Adult,103,236
Child,84,257
Adult,118,238
Adult,185,331
Adult,70,264
Adult,23,85
Adult,60,136
Adult,67,141
Adult,38,99
Adult,96,238
Adult,82,211
Adult,24,80
Adult,32,86
Adult,76,150
Adult,74,203
Adult,67,156
Adult,52,175
Adult,137,268
Adult,74,147
Adult,26,105
Adult,116,256
Adult,44,128
Adult,58,177
Adult,29,83
Adult,32,86
Adult,81,220
Adult,119,220
Adult,85,223
Adult,39,130
Adult,172,279
Adult,47,198
Adult,60,130
Adult,42,168
Adult,21,74
Adult,77,182
Adult,43,115
Adult,80,191
Adult,29,88
Adult,63,208
Adult,40,129
Adult,68,180
Adult,48,125
Adult,64,169
Adult,89,239
Adult,60,182
Adult,135,302
Adult,55,136
Adult,28,102
Adult,129,256
Adult,33,87
Adult,67,150
Adult,47,130
Adult,49,154
Adult,42,117
Adult,30,85
Adult,47,105
Adult,33,91
Adult,85,288
Adult,71,199
Adult,35,98
Adult,68,209
Adult,28,84
Adult,110,254
Adult,43,110
Adult,89,234
Adult,59,116
Adult,75,160
Adult,60,149
Adult,52,188
Adult,135,267
Adult,59,134
Adult,86,206
Adult,45,127
Adult,88,224
Adult,79,152
Adult,30,97
Adult,100,263
Adult,49,193
Adult,105,188
Adult,35,92
Adult,68,180
Adult,41,110
Adult,37,114
Adult,104,291
Adult,47,156
Adult,59,220
Adult,90,159
Adult,144,252
Adult,120,239
Adult,52,129
Adult,91,144
Adult,60,171
Adult,53,232
Adult,60,151
Adult,73,140
Adult,48,142
Adult,29,91
Adult,44,110
Adult,60,180
Adult,31,71
Adult,41,98
Adult,43,94
Adult,57,170
Adult,64,115
Adult,25,75
Adult,22,65
Adult,86,220
Adult,29,98
Adult,32,100
Adult,49,132
Adult,35,76
Adult,79,198
Adult,56,164
Adult,29,73
Adult,22,87
Adult,28,92
Adult,55,121
Child,60,118
Adult,130,275
Adult,54,117
Adult,38,143
Adult,74,153
Adult,116,309
Adult,64,218
Adult,78,292
Adult,64,175
Adult,142,299
Adult,58,134
Adult,36,95
Adult,121,422
Adult,86,230
Adult,24,67
Adult,69,208
Adult,21,74
Adult,146,363
Adult,103,263
Adult,103,239
Adult,35,107
Adult,43,91
Adult,70,170
Adult,33,102
Adult,110,402
Adult,47,153
Adult,81,195
Adult,35,125
Adult,36,124
Adult,27,103
Adult,36,94
Adult,94,265
Adult,32,108
Adult,35,111
Adult,25,66
Adult,143,308
Adult,180,515
Adult,61,204
Adult,46,116
Adult,85,198
Adult,36,67
Adult,32,86
Adult,32,83
Adult,69,183
Adult,47,133
Adult,99,345
Adult,85,149
Adult,51,106
Adult,149,372
Adult,26,71
Adult,38,118
Adult,29,66
Adult,68,192
Adult,33,137
Adult,57,165
Adult,24,76
Adult,125,359
Adult,41,115
Adult,107,288
Child,81,153
Adult,51,181
Adult,49,123
Adult,89,251
Adult,57,165
Adult,23,82
Adult,163,366
Adult,206,525
Adult,75,240
Adult,39,154
Adult,51,130
Adult,78,135
Adult,42,133
Adult,64,120
Child,76,177
Adult,40,116
Adult,109,208
Adult,48,114
Adult,38,143
Adult,75,286
Adult,71,190
Adult,72,219
Adult,204,433
Adult,53,98
Adult,206,553
Adult,32,91
Adult,28,104
Adult,42,123
Child,25,64
Adult,42,92
Adult,98,255
Adult,132,279
Child,96,281
Adult,32,85
Adult,25,104
Adult,50,151
Adult,37,105
Adult,42,169
Adult,111,301
Adult,137,358
Adult,50,134
Adult,25,108
Adult,40,114
Adult,40,118
Adult,93,256
Adult,72,224
Adult,66,217
Adult,115,340
Adult,65,201
Adult,50,147
Adult,75,211
Adult,168,446
Adult,67,194
Adult,39,123
Adult,37,133
Adult,89,341
Adult,63,169
Adult,48,100
Adult,31,82
Adult,35,70
Adult,145,286
Adult,57,100
Adult,39,136
Adult,49,153
Adult,85,153
Adult,33,104
Adult,30,75
Adult,156,330
Adult,47,131
Adult,53,215
Adult,37,94
Adult,175,423
Adult,53,147
Adult,40,124
Adult,58,146
Adult,100,267
Adult,26,68
Adult,41,131
Adult,25,81
Adult,42,99
Adult,62,154
Adult,142,408
Adult,99,224
Adult,281,511
Adult,34,103
Adult,95,184
Adult,30,119
Adult,24,85
Adult,25,93
Adult,171,446
Adult,53,173
Adult,164,286
Adult,32,112
Adult,56,111
Adult,185,520
Adult,85,334
Adult,106,370
Adult,64,218
Adult,57,188
Adult,59,161
Adult,106,224
Adult,107,162
Adult,35,105
Adult,29,73
Adult,64,151
Adult,32,86
Adult,25,74
Adult,25,82
Adult,96,348
Adult,72,243
Adult,60,169
Adult,57,215
Adult,72,172
Adult,89,293
Adult,115,316
Adult,44,128
Adult,149,412
Adult,72,181
Adult,91,237
Adult,32,81
Adult,58,226
Adult,25,70
Adult,55,148
Adult,89,233
Adult,130,395
Adult,37,117
